M|15050,15080,15555,15630,15678,15888||000000-999999|
G|3372|Jüterbog|00-9999999|
G|33731|Trebbin|0-999999|
G|33732|Hennickendorf bei Luckenwalde|0-999999|
G|33733|Stülpe|0-999999|
G|33734|Felgentreu|0-999999|
G|33741|Niedergörsdorf|0-999999|
G|33742|Oehna Brandenburg|0-999999|
G|33743|Blönsdorf|0-999999|
G|33744|Hohenseefeld|0-999999|
G|33745|Petkus|0-999999|
G|33746|Werbig bei Jüterbog|0-999999|
G|33747|Marzahna|0-999999|
G|33748|Treuenbrietzen|0-999999|
G|3375|Königs Wusterhausen|00-9999999|
G|33760|Münchehofe Kreis Dahme-Spreewald|0-999999|
G|33762|Zeuthen|0-999999|
G|33763|Bestensee|0-999999|
G|33764|Mittenwalde Mark|0-999999|
G|33765|Märkisch Buchholz|0-999999|
G|33766|Teupitz|0-999999|
G|33767|Friedersdorf bei Berlin|0-999999|
G|33768|Prieros|0-999999|
G|33769|Töpchin|0-999999|
G|3377|Zossen Brandenburg|00-9999999|
G|3378|Ludwigsfelde|00-9999999|
G|3379|Mahlow|00-9999999|
G|3381|Brandenburg an der Havel|00-9999999|
G|3382|Lehnin|00-9999999|
G|33830|Ziesar|0-999999|
G|33831|Weseram|0-999999|
G|33832|Rogäsen|0-999999|
G|33833|Wollin bei Brandenburg|0-999999|
G|33834|Pritzerbe|0-999999|
G|33835|Golzow bei Brandenburg|0-999999|
G|33836|Butzow bei Brandenburg|0-999999|
G|33837|Brielow|0-999999|
G|33838|Päwesin|0-999999|
G|33839|Wusterwitz|0-999999|
G|33841|Belzig|0-999999|
G|33843|Niemegk|0-999999|
G|33844|Brück Brandenburg|0-999999|
G|33845|Borkheide|0-999999|
G|33846|Dippmannsdorf|0-999999|
G|33847|Görzke|0-999999|
G|33848|Raben|0-999999|
G|33849|Wiesenburg Mark|0-999999|
G|3385|Rathenow|00-9999999|
G|3386|Premnitz|00-9999999|
G|33870|Zollchow bei Rathenow|0-999999|
G|33872|Hohennauen|0-999999|
G|33873|Grosswudicke|0-999999|
G|33874|Stechow Brandenburg|0-999999|
G|33875|Rhinow|0-999999|
G|33876|Buschow|0-999999|
G|33877|Nitzahn|0-999999|
G|33878|Nennhausen|0-999999|
G|3391|Neuruppin|00-9999999|
G|33920|Walsleben bei Neuruppin|0-999999|
G|33921|Zechlinerhütte|0-999999|
G|33922|Karwesee|0-999999|
G|33923|Flecken Zechlin|0-999999|
G|33924|Rägelin|0-999999|
G|33925|Wustrau-Altfriesack|0-999999|
G|33926|Herzberg Mark|0-999999|
G|33927|Linum|0-999999|
G|33928|Wildberg Brandenburg|0-999999|
G|33929|Gühlen-Glienicke|0-999999|
G|33931|Rheinsberg Mark|0-999999|
G|33932|Fehrbellin|0-999999|
G|33933|Lindow Mark|0-999999|
G|3394|Wittstock Dosse|00-9999999|
G|3395|Pritzwalk|00-9999999|
G|33962|Heiligengrabe|0-999999|
G|33963|Wulfersdorf bei Wittstock|0-999999|
G|33964|Fretzdorf|0-999999|
G|33965|Herzsprung bei Wittstock|0-999999|
G|33966|Dranse|0-999999|
G|33967|Freyenstein|0-999999|
G|33968|Meyenburg Kreis Prignitz|0-999999|
G|33969|Stepenitz|0-999999|
G|33970|Neustadt Dosse|0-999999|
G|33971|Kyritz Brandenburg|0-999999|
G|33972|Breddin|0-999999|
G|33973|Zernitz bei Neustadt Dosse|0-999999|
G|33974|Dessow|0-999999|
G|33975|Dannenwalde Kreis Prignitz|0-999999|
G|33976|Wutike|0-999999|
G|33977|Gumtow|0-999999|
G|33978|Segeletz|0-999999|
G|33979|Wusterhausen Dosse|0-999999|
G|33981|Putlitz|0-999999|
G|33982|Hoppenrade Kreis Prignitz|0-999999|
G|33983|Gross Pankow Kreis Prignitz|0-999999|
G|33984|Blumenthal bei Pritzwalk|0-999999|
G|33986|Falkenhagen Kreis Prignitz|0-999999|
G|33989|Sadenbeck|0-999999|
G|340|Dessau Anh|000-99999999|
G|341|Leipzig|000-99999999|
G|34202|Delitzsch|0-999999|
G|34203|Zwenkau|0-999999|
G|34204|Schkeuditz|0-999999|
G|34205|Markranstädt|0-999999|
G|34206|Rötha|0-999999|
G|34207|Zwochau|0-999999|
G|34208|Löbnitz bei Delitzsch|0-999999|
G|3421|Torgau|00-9999999|
G|34221|Schildau Gneisenaustadt|0-999999|
G|34222|Arzberg bei Torgau|0-999999|
G|34223|Dommitzsch|0-999999|
G|34224|Belgern Sachsen|0-999999|
G|3423|Eilenburg|00-9999999|
G|34241|Jesewitz|0-999999|
G|34242|Hohenpriessnitz|0-999999|
G|34243|Bad Düben|0-999999|
G|34244|Mockrehna|0-999999|
G|3425|Wurzen|00-9999999|
G|34261|Kühren bei Wurzen|0-999999|
G|34262|Falkenhain bei Wurzen|0-999999|
G|34263|Hohburg|0-999999|
G|34291|Borsdorf|0-999999|
G|34292|Brandis bei Wurzen|0-999999|
G|34293|Naunhof bei Grimma|0-999999|
G|34294|Rackwitz|0-999999|
G|34295|Krensitz|0-999999|
G|34296|Groitzsch bei Pegau|0-999999|
G|34297|Liebertwolkwitz|0-999999|
G|34298|Taucha bei Leipzig|0-999999|
G|34299|Gaschwitz|0-999999|
G|3431|Döbeln|00-9999999|
G|34321|Leisnig|0-999999|
G|34322|Rosswein|0-999999|
G|34324|Ostrau Sachsen|0-999999|
G|34325|Mochau-Lüttewitz|0-999999|
G|34327|Waldheim Sachsen|0-999999|
G|34328|Hartha bei Döbeln|0-999999|
G|3433|Borna Stadt|00-9999999|
G|34341|Geithain|0-999999|
G|34342|Neukieritzsch|0-999999|
G|34343|Regis-Breitingen|0-999999|
G|34344|Kohren-Sahlis|0-999999|
G|34345|Bad Lausick|0-999999|
G|34346|Narsdorf|0-999999|
G|34347|Oelzschau bei Borna|0-999999|
G|34348|Frohburg|0-999999|
G|3435|Oschatz|00-9999999|
G|34361|Dahlen Sachsen|0-999999|
G|34362|Mügeln bei Oschatz|0-999999|
G|34363|Cavertitz|0-999999|
G|34364|Wermsdorf|0-999999|
G|3437|Grimma|00-9999999|
G|34381|Colditz|0-999999|
G|34382|Nerchau|0-999999|
G|34383|Trebsen Mulde|0-999999|
G|34384|Grossbothen|0-999999|
G|34385|Mutzschen|0-999999|
G|34386|Dürrweitzschen bei Grimma|0-999999|
G|3441|Zeitz|00-9999999|
G|34422|Osterfeld|0-999999|
G|34423|Heuckewalde|0-999999|
G|34424|Reuden bei Zeitz|0-999999|
G|34425|Droyssig|0-999999|
G|34426|Kayna|0-999999|
G|3443|Weissenfels Sachsen-Anhalt|00-9999999|
G|34441|Hohenmölsen|0-999999|
G|34443|Teuchern|0-999999|
G|34444|Lützen|0-999999|
G|34445|Stößen|0-999999|
G|34446|Grosskorbetha|0-999999|
G|3445|Naumburg Saale|00-9999999|
G|34461|Nebra Unstrut|0-999999|
G|34462|Laucha Unstrut|0-999999|
G|34463|Bad Kösen|0-999999|
G|34464|Freyburg Unstrut|0-999999|
G|34465|Bad Bibra|0-999999|
G|34466|Janisroda|0-999999|
G|34467|Eckartsberga|0-999999|
G|3447|Altenburg Thüringen|00-9999999|
G|3448|Meuselwitz Thüringen|00-9999999|
G|34491|Schmölln Thüringen|0-999999|
G|34492|Lucka|0-999999|
G|34493|Gößnitz Thüringen|0-999999|
G|34494|Ehrenhain|0-999999|
G|34495|Dobitschen|0-999999|
G|34496|Nöbdenitz|0-999999|
G|34497|Langenleuba-Niederhain|0-999999|
G|34498|Rositz|0-999999|
G|345|Halle Saale|000-99999999|
G|34600|Ostrau Saalkreis|0-999999|
G|34601|Teutschenthal|0-999999|
G|34602|Landsberg Sachsen-Anhalt|0-999999|
G|34603|Nauendorf Sachsen-Anhalt|0-999999|
G|34604|Niemberg|0-999999|
G|34605|Gröbers|0-999999|
G|34606|Teicha Sachsen-Anhalt|0-999999|
G|34607|Wettin|0-999999|
G|34609|Salzmünde|0-999999|
G|3461|Merseburg Saale|00-9999999|
G|3462|Bad Dürrenberg|00-9999999|
G|34632|Mücheln Geiseltal|0-999999|
G|34633|Braunsbedra|0-999999|
G|34635|Bad Lauchstädt|0-999999|
G|34636|Schafstädt|0-999999|
G|34637|Frankleben|0-999999|
G|34638|Zöschen|0-999999|
G|34639|Wallendorf Luppe|0-999999|
G|3464|Sangerhausen|00-9999999|
G|34651|Rossla|0-999999|
G|34652|Allstedt|0-999999|
G|34653|Rottleberode|0-999999|
G|34654|Stolberg Harz|0-999999|
G|34656|Wallhausen Sachsen-Anhalt|0-999999|
G|34658|Hayn Harz|0-999999|
G|34659|Blankenheim bei Sangerhausen|0-999999|
G|3466|Artern Unstrut|00-9999999|
G|34671|Bad Frankenhausen Kyffhäuser|0-999999|
G|34672|Rossleben|0-999999|
G|34673|Heldrungen|0-999999|
G|34691|Könnern|0-999999|
G|34692|Alsleben Saale|0-999999|
G|3471|Bernburg Saale|00-9999999|
G|34721|Nienburg Saale|0-999999|
G|34722|Preusslitz|0-999999|
G|3473|Aschersleben Sachsen-Anhalt|00-9999999|
G|34741|Frose|0-999999|
G|34742|Sylda|0-999999|
G|34743|Ermsleben|0-999999|
G|34745|Winningen Sachsen-Anhalt|0-999999|
G|34746|Giersleben|0-999999|
G|3475|Lutherstadt Eisleben|00-9999999|
G|3476|Hettstedt Sachsen-Anhalt|00-9999999|
G|34771|Querfurt|0-999999|
G|34772|Helbra|0-999999|
G|34773|Schwittersdorf|0-999999|
G|34774|Röblingen am See|0-999999|
G|34775|Wippra|0-999999|
G|34776|Rothenschirmbach|0-999999|
G|34779|Abberode|0-999999|
G|34781|Greifenhagen|0-999999|
G|34782|Mansfeld Südharz|0-999999|
G|34783|Gerbstedt|0-999999|
G|34785|Sandersleben|0-999999|
G|34901|Roßlau Elbe|0-999999|
G|34903|Coswig Anhalt|0-999999|
G|34904|Oranienbaum|0-999999|
G|34905|Wörlitz|0-999999|
G|34906|Raguhn|0-999999|
G|34907|Jeber-Bergfrieden|0-999999|
G|34909|Aken Elbe|0-999999|
G|3491|Lutherstadt Wittenberg|00-9999999|
G|34920|Kropstädt|0-999999|
G|34921|Kemberg|0-999999|
G|34922|Mühlanger|0-999999|
G|34923|Cobbelsdorf|0-999999|
G|34924|Zahna|0-999999|
G|34925|Bad Schmiedeberg|0-999999|
G|34926|Pretzsch Elbe|0-999999|
G|34927|Globig-Bleddin|0-999999|
G|34928|Seegrehna|0-999999|
G|34929|Straach|0-999999|
G|3493|Bitterfeld|00-9999999|
G|3494|Wolfen|00-9999999|
G|34953|Gräfenhainichen|0-999999|
G|34954|Roitzsch bei Bitterfeld|0-999999|
G|34955|Gossa|0-999999|
G|34956|Zörbig|0-999999|
G|3496|Köthen Anhalt|00-9999999|
G|34973|Osternienburg|0-999999|
G|34975|Görzig Kreis Köthen|0-999999|
G|34976|Gröbzig|0-999999|
G|34977|Quellendorf|0-999999|
G|34978|Radegast Kreis Köthen|0-999999|
G|34979|Wulfen Sachsen-Anhalt|0-999999|
G|3501|Pirna|00-9999999|
G|35020|Struppen|0-999999|
G|35021|Königstein Sächsische Schweiz|0-999999|
G|35022|Bad Schandau|0-999999|
G|35023|Bad Gottleuba|0-999999|
G|35024|Stadt Wehlen|0-999999|
G|35025|Liebstadt|0-999999|
G|35026|Dürrröhrsdorf-Dittersbach|0-999999|
G|35027|Weesenstein|0-999999|
G|35028|Krippen|0-999999|
G|35032|Langenhennersdorf|0-999999|
G|35033|Rosenthal Sächsische Schweiz|0-999999|
G|3504|Dippoldiswalde|00-9999999|
G|35052|Kipsdorf Kurort|0-999999|
G|35053|Glashütte Sachsen|0-999999|
G|35054|Lauenstein Sachsen|0-999999|
G|35055|Höckendorf bei Dippoldiswalde|0-999999|
G|35056|Altenberg Sachsen|0-999999|
G|35057|Hermsdorf Erzgebirge|0-999999|
G|35058|Pretzschendorf|0-999999|
G|351|Dresden|000-99999999|
G|35200|Arnsdorf bei Dresden|0-999999|
G|35201|Langebrück|0-999999|
G|35202|Klingenberg Sachsen|0-999999|
G|35203|Tharandt|0-999999|
G|35204|Wilsdruff|0-999999|
G|35205|Ottendorf-Okrilla|0-999999|
G|35206|Kreischa bei Dresden|0-999999|
G|35207|Moritzburg|0-999999|
G|35208|Radeburg|0-999999|
G|35209|Mohorn|0-999999|
G|3521|Meissen|00-9999999|
G|3522|Grossenhain Sachsen|00-9999999|
G|3523|Coswig bei Dresden|00-9999999|
G|35240|Tauscha bei Großenhain|0-999999|
G|35241|Lommatzsch|0-999999|
G|35242|Nossen|0-999999|
G|35243|Weinböhla|0-999999|
G|35244|Krögis|0-999999|
G|35245|Burkhardswalde-Munzig|0-999999|
G|35246|Ziegenhain Sachsen|0-999999|
G|35247|Zehren Sachsen|0-999999|
G|35248|Schönfeld bei Großenhain|0-999999|
G|35249|Basslitz|0-999999|
G|3525|Riesa|00-9999999|
G|35263|Gröditz bei Riesa|0-999999|
G|35264|Strehla|0-999999|
G|35265|Glaubitz|0-999999|
G|35266|Heyda bei Riesa|0-999999|
G|35267|Diesbar-Seusslitz|0-999999|
G|35268|Stauchitz|0-999999|
G|3528|Radeberg|00-9999999|
G|3529|Heidenau Sachsen|00-9999999|
G|3531|Finsterwalde|00-9999999|
G|35322|Doberlug-Kirchhain|0-999999|
G|35323|Sonnewalde|0-999999|
G|35324|Crinitz|0-999999|
G|35325|Rückersdorf bei Finsterwalde|0-999999|
G|35326|Schönborn Kreis Elbe-Elster|0-999999|
G|35327|Priessen|0-999999|
G|35329|Dollenchen|0-999999|
G|3533|Elsterwerda|00-9999999|
G|35341|Bad Liebenwerda|0-999999|
G|35342|Mühlberg Elbe|0-999999|
G|35343|Hirschfeld bei Elsterwerda|0-999999|
G|3535|Herzberg Elster|00-9999999|
G|35361|Schlieben|0-999999|
G|35362|Schönewalde bei Herzberg|0-999999|
G|35363|Fermerswalde|0-999999|
G|35364|Lebusa|0-999999|
G|35365|Falkenberg Elster|0-999999|
G|3537|Jessen Elster|00-9999999|
G|35383|Elster Elbe|0-999999|
G|35384|Steinsdorf bei Jessen|0-999999|
G|35385|Annaburg|0-999999|
G|35386|Prettin|0-999999|
G|35387|Seyda|0-999999|
G|35388|Klöden|0-999999|
G|35389|Holzdorf Elster|0-999999|
G|3541|Calau|00-9999999|
G|3542|Lübbenau Spreewald|00-9999999|
G|35433|Vetschau|0-999999|
G|35434|Altdöbern|0-999999|
G|35435|Gollmitz bei Calau|0-999999|
G|35436|Laasow bei Calau|0-999999|
G|35439|Zinnitz|0-999999|
G|3544|Luckau Brandenburg|00-9999999|
G|35451|Dahme Brandenburg|0-999999|
G|35452|Golssen|0-999999|
G|35453|Drahnsdorf|0-999999|
G|35454|Uckro|0-999999|
G|35455|Walddrehna|0-999999|
G|35456|Terpt|0-999999|
G|3546|Lübben Spreewald|00-9999999|
G|35471|Birkenhainchen|0-999999|
G|35472|Schlepzig|0-999999|
G|35473|Neu Lübbenau|0-999999|
G|35474|Schönwalde bei Lübben|0-999999|
G|35475|Straupitz|0-999999|
G|35476|Wittmannsdorf-Bückchen|0-999999|
G|35477|Rietzneuendorf-Friedrichshof|0-999999|
G|35478|Goyatz|0-999999|
G|355|Cottbus|000-99999999|
G|35600|Döbern NL|0-999999|
G|35601|Peitz|0-999999|
G|35602|Drebkau|0-999999|
G|35603|Burg Spreewald|0-999999|
G|35604|Krieschow|0-999999|
G|35605|Komptendorf|0-999999|
G|35606|Briesen bei Cottbus|0-999999|
G|35607|Jänschwalde|0-999999|
G|35608|Gross Ossnig|0-999999|
G|35609|Drachhausen|0-999999|
G|3561|Guben|00-9999999|
G|3562|Forst Lausitz|00-9999999|
G|3563|Spremberg|00-9999999|
G|3564|Schwarze Pumpe|00-9999999|
G|35691|Bärenklau NL|0-999999|
G|35692|Kerkwitz|0-999999|
G|35693|Lauschütz|0-999999|
G|35694|Gosda bei Klinge|0-999999|
G|35695|Simmersdorf|0-999999|
G|35696|Briesnig|0-999999|
G|35697|Bagenz|0-999999|
G|35698|Hornow|0-999999|
G|3571|Hoyerswerda|00-9999999|
G|35722|Lauta bei Hoyerswerda|0-999999|
G|35723|Bernsdorf OL|0-999999|
G|35724|Lohsa|0-999999|
G|35725|Wittichenau|0-999999|
G|35726|Groß Särchen|0-999999|
G|35727|Burghammer|0-999999|
G|35728|Uhyst Spree|0-999999|
G|3573|Senftenberg|00-9999999|
G|3574|Lauchhammer|00-9999999|
G|35751|Welzow|0-999999|
G|35752|Ruhland|0-999999|
G|35753|Großräschen|0-999999|
G|35754|Klettwitz|0-999999|
G|35755|Ortrand|0-999999|
G|35756|Hosena|0-999999|
G|3576|Weisswasser|00-9999999|
G|35771|Bad Muskau|0-999999|
G|35772|Rietschen|0-999999|
G|35773|Schleife|0-999999|
G|35774|Boxberg Sachsen|0-999999|
G|35775|Pechern|0-999999|
G|3578|Kamenz|00-9999999|
G|35792|Ossling|0-999999|
G|35793|Elstra|0-999999|
G|35795|Königsbrück|0-999999|
G|35796|Panschwitz-Kuckau|0-999999|
G|35797|Schwepnitz|0-999999|
G|3581|Görlitz|00-9999999|
G|35820|Zodel|0-999999|
G|35822|Hagenwerder|0-999999|
G|35823|Ostritz|0-999999|
G|35825|Kodersdorf|0-999999|
G|35826|Königshain bei Görlitz|0-999999|
G|35827|Nieder-Seifersdorf|0-999999|
G|35828|Reichenbach OL|0-999999|
G|35829|Gersdorf bei Görlitz|0-999999|
G|3583|Zittau|00-9999999|
G|35841|Großschönau Sachsen|0-999999|
G|35842|Oderwitz|0-999999|
G|35843|Hirschfelde bei Zittau|0-999999|
G|35844|Oybin Kurort|0-999999|
G|3585|Löbau|00-9999999|
G|3586|Neugersdorf Sachsen|00-9999999|
G|35872|Neusalza-Spremberg|0-999999|
G|35873|Herrnhut|0-999999|
G|35874|Bernstadt an der Eigen|0-999999|
G|35875|Obercunnersdorf bei Löbau|0-999999|
G|35876|Weissenberg Sachsen|0-999999|
G|35877|Cunewalde|0-999999|
G|3588|Niesky|00-9999999|
G|35891|Rothenburg OL|0-999999|
G|35892|Horka OL|0-999999|
G|35893|Mücka|0-999999|
G|35894|Hähnichen|0-999999|
G|35895|Klitten|0-999999|
G|3591|Bautzen|00-9999999|
G|3592|Kirschau|00-9999999|
G|35930|Seitschen|0-999999|
G|35931|Königswartha|0-999999|
G|35932|Guttau|0-999999|
G|35933|Neschwitz|0-999999|
G|35934|Grossdubrau|0-999999|
G|35935|Kleinwelka|0-999999|
G|35936|Sohland Spree|0-999999|
G|35937|Prischwitz|0-999999|
G|35938|Großpostwitz OL|0-999999|
G|35939|Hochkirch|0-999999|
G|3594|Bischofswerda|00-9999999|
G|35951|Neukirch Lausitz|0-999999|
G|35952|Großröhrsdorf OL|0-999999|
G|35953|Burkau|0-999999|
G|35954|Grossharthau|0-999999|
G|35955|Pulsnitz|0-999999|
G|3596|Neustadt in Sachsen|00-9999999|
G|35971|Sebnitz|0-999999|
G|35973|Stolpen|0-999999|
G|35974|Hinterhermsdorf|0-999999|
G|35975|Hohnstein|0-999999|
G|3601|Mühlhausen Thüringen|00-9999999|
G|36020|Ebeleben|0-999999|
G|36021|Schlotheim|0-999999|
G|36022|Grossengottern|0-999999|
G|36023|Horsmar|0-999999|
G|36024|Diedorf bei Mühlhausen|0-999999|
G|36025|Körner|0-999999|
G|36026|Struth bei Mühlhausen|0-999999|
G|36027|Lengenfeld Unterm Stein|0-999999|
G|36028|Kammerforst Thüringen|0-999999|
G|36029|Menteroda|0-999999|
G|3603|Bad Langensalza|00-9999999|
G|36041|Bad Tennstedt|0-999999|
G|36042|Tonna|0-999999|
G|36043|Kirchheilingen|0-999999|
G|3605|Leinefelde|00-9999999|
G|3606|Heiligenstadt Heilbad|00-9999999|
G|36071|Teistungen|0-999999|
G|36072|Weißenborn-Lüderode|0-999999|
G|36074|Worbis|0-999999|
G|36075|Dingelstädt Eichsfeld|0-999999|
G|36076|Niederorschel|0-999999|
G|36077|Grossbodungen|0-999999|
G|36081|Arenshausen|0-999999|
G|36082|Ershausen|0-999999|
G|36083|Uder|0-999999|
G|36084|Heuthen|0-999999|
G|36085|Reinholterode|0-999999|
G|36087|Wüstheuterode|0-999999|
G|361|Erfurt|000-99999999|
G|36200|Elxleben bei Arnstadt|0-999999|
G|36201|Walschleben|0-999999|
G|36202|Neudietendorf|0-999999|
G|36203|Vieselbach|0-999999|
G|36204|Stotternheim|0-999999|
G|36205|Gräfenroda|0-999999|
G|36206|Grossfahner|0-999999|
G|36207|Plaue Thüringen|0-999999|
G|36208|Ermstedt|0-999999|
G|36209|Klettbach|0-999999|
G|3621|Gotha Thüringen|00-9999999|
G|3622|Waltershausen Thüringen|00-9999999|
G|3623|Friedrichroda|00-9999999|
G|3624|Ohrdruf|00-9999999|
G|36252|Tambach-Dietharz|0-999999|
G|36253|Georgenthal Thüringer Wald|0-999999|
G|36254|Friedrichswerth|0-999999|
G|36255|Goldbach bei Gotha|0-999999|
G|36256|Wechmar|0-999999|
G|36257|Luisenthal Thüringen|0-999999|
G|36258|Friemar|0-999999|
G|36259|Tabarz Thüringer Wald|0-999999|
G|3628|Arnstadt|00-9999999|
G|3629|Stadtilm|00-9999999|
G|3631|Nordhausen Thüringen|00-9999999|
G|3632|Sondershausen|00-9999999|
G|36330|Grossberndten|0-999999|
G|36331|Ilfeld|0-999999|
G|36332|Ellrich|0-999999|
G|36333|Heringen Helme|0-999999|
G|36334|Wolkramshausen|0-999999|
G|36335|Grosswechsungen|0-999999|
G|36336|Klettenberg|0-999999|
G|36337|Schiedungen|0-999999|
G|36338|Bleicherode|0-999999|
G|3634|Sömmerda|00-9999999|
G|3635|Kölleda|00-9999999|
G|3636|Greussen|00-9999999|
G|36370|Grossenehrich|0-999999|
G|36371|Schlossvippach|0-999999|
G|36372|Kleinneuhausen|0-999999|
G|36373|Buttstädt|0-999999|
G|36374|Weissensee|0-999999|
G|36375|Kindelbrück|0-999999|
G|36376|Straussfurt|0-999999|
G|36377|Rastenberg|0-999999|
G|36378|Ostramondra|0-999999|
G|36379|Holzengel|0-999999|
G|3641|Jena|00-9999999|
G|36421|Camburg|0-999999|
G|36422|Reinstädt Thüringen|0-999999|
G|36423|Orlamünde|0-999999|
G|36424|Kahla Thüringen|0-999999|
G|36425|Isserstedt|0-999999|
G|36426|Ottendorf bei Stadtroda|0-999999|
G|36427|Dornburg Saale|0-999999|
G|36428|Stadtroda|0-999999|
G|3643|Weimar Thüringen|00-9999999|
G|3644|Apolda|00-9999999|
G|36450|Kranichfeld|0-999999|
G|36451|Buttelstedt|0-999999|
G|36452|Berlstedt|0-999999|
G|36453|Mellingen|0-999999|
G|36454|Magdala|0-999999|
G|36458|Bad Berka|0-999999|
G|36459|Blankenhain Thüringen|0-999999|
G|36461|Bad Sulza|0-999999|
G|36462|Ossmannstedt|0-999999|
G|36463|Gebstedt|0-999999|
G|36464|Wormstedt|0-999999|
G|36465|Oberndorf bei Apolda|0-999999|
G|3647|Pößneck|00-9999999|
G|36481|Neustadt an der Orla|0-999999|
G|36482|Triptis|0-999999|
G|36483|Ziegenrück|0-999999|
G|36484|Knau bei Pößneck|0-999999|
G|365|Gera|000-99999999|
G|36601|Hermsdorf Thüringen|0-999999|
G|36602|Ronneburg Thüringen|0-999999|
G|36603|Weida|0-999999|
G|36604|Münchenbernsdorf|0-999999|
G|36605|Bad Köstritz|0-999999|
G|36606|Kraftsdorf|0-999999|
G|36607|Niederpöllnitz|0-999999|
G|36608|Seelingstädt bei Gera|0-999999|
G|3661|Greiz|00-9999999|
G|36621|Elsterberg bei Plauen|0-999999|
G|36622|Triebes|0-999999|
G|36623|Berga Elster|0-999999|
G|36624|Teichwolframsdorf|0-999999|
G|36625|Langenwetzendorf|0-999999|
G|36626|Auma|0-999999|
G|36628|Zeulenroda|0-999999|
G|3663|Schleiz|00-9999999|
G|36640|Remptendorf|0-999999|
G|36642|Harra|0-999999|
G|36643|Thimmendorf|0-999999|
G|36644|Hirschberg Saale|0-999999|
G|36645|Mühltroff|0-999999|
G|36646|Tanna bei Schleiz|0-999999|
G|36647|Saalburg Thüringen|0-999999|
G|36648|Dittersdorf bei Schleiz|0-999999|
G|36649|Gefell bei Schleiz|0-999999|
G|36651|Lobenstein|0-999999|
G|36652|Wurzbach|0-999999|
G|36653|Lehesten Thüringer Wald|0-999999|
G|36691|Eisenberg Thüringen|0-999999|
G|36692|Bürgel|0-999999|
G|36693|Crossen an der Elster|0-999999|
G|36694|Schkölen Thüringen|0-999999|
G|36695|Söllmnitz|0-999999|
G|36701|Lichte|0-999999|
G|36702|Lauscha|0-999999|
G|36703|Gräfenthal|0-999999|
G|36704|Steinheid|0-999999|
G|36705|Oberweißbach Thüringer Wald|0-999999|
G|3671|Saalfeld Saale|00-9999999|
G|3672|Rudolstadt|00-9999999|
G|36730|Sitzendorf|0-999999|
G|36731|Unterloquitz|0-999999|
G|36732|Könitz|0-999999|
G|36733|Kaulsdorf|0-999999|
G|36734|Leutenberg|0-999999|
G|36735|Probstzella|0-999999|
G|36736|Arnsgereuth|0-999999|
G|36737|Drognitz|0-999999|
G|36738|Königsee|0-999999|
G|36739|Rottenbach|0-999999|
G|36741|Bad Blankenburg|0-999999|
G|36742|Uhlstädt|0-999999|
G|36743|Teichel|0-999999|
G|36744|Remda|0-999999|
G|3675|Sonneberg Thüringen|00-9999999|
G|36761|Heubisch|0-999999|
G|36762|Steinach Thüringen|0-999999|
G|36764|Neuhaus-Schierschnitz|0-999999|
G|36766|Schalkau|0-999999|
G|3677|Ilmenau Thüringen|00-9999999|
G|36781|Grossbreitenbach|0-999999|
G|36782|Schmiedefeld am Rennsteig|0-999999|
G|36783|Gehren Thüringen|0-999999|
G|36784|Stützerbach|0-999999|
G|36785|Gräfinau-Angstedt|0-999999|
G|3679|Neuhaus am Rennweg|00-9999999|
G|3681|Suhl|00-9999999|
G|3682|Zella-Mehlis|00-9999999|
G|3683|Schmalkalden|00-9999999|
G|36840|Trusetal|0-999999|
G|36841|Schleusingen|0-999999|
G|36842|Oberhof Thüringen|0-999999|
G|36843|Benshausen|0-999999|
G|36844|Rohr Thüringen|0-999999|
G|36845|Gehlberg|0-999999|
G|36846|Suhl-Dietzhausen|0-999999|
G|36847|Steinbach-Hallenberg|0-999999|
G|36848|Wernshausen|0-999999|
G|36849|Kleinschmalkalden|0-999999|
G|3685|Hildburghausen|00-9999999|
G|3686|Eisfeld|00-9999999|
G|36870|Masserberg|0-999999|
G|36871|Bad Colberg-Heldburg|0-999999|
G|36873|Themar|0-999999|
G|36874|Schönbrunn bei Hildburghaus|0-999999|
G|36875|Straufhain-Streufdorf|0-999999|
G|36878|Oberland|0-999999|
G|3691|Eisenach Thüringen|00-9999999|
G|36920|Grossenlupnitz|0-999999|
G|36921|Wutha-Farnroda|0-999999|
G|36922|Gerstungen|0-999999|
G|36923|Treffurt|0-999999|
G|36924|Mihla|0-999999|
G|36925|Marksuhl|0-999999|
G|36926|Creuzburg|0-999999|
G|36927|Unterellen|0-999999|
G|36928|Neuenhof Thüringen|0-999999|
G|36929|Ruhla|0-999999|
G|3693|Meiningen|00-9999999|
G|36940|Oepfershausen|0-999999|
G|36941|Wasungen|0-999999|
G|36943|Bettenhausen Thüringen|0-999999|
G|36944|Rentwertshausen|0-999999|
G|36945|Henneberg|0-999999|
G|36946|Erbenhausen Thüringen|0-999999|
G|36947|Jüchsen|0-999999|
G|36948|Römhild|0-999999|
G|36949|Obermaßfeld-Grimmenthal|0-999999|
G|3695|Bad Salzungen|00-9999999|
G|36961|Bad Liebenstein|0-999999|
G|36962|Vacha|0-999999|
G|36963|Dorndorf Rhön|0-999999|
G|36964|Dermbach Rhön|0-999999|
G|36965|Stadtlengsfeld|0-999999|
G|36966|Kaltennordheim|0-999999|
G|36967|Geisa|0-999999|
G|36968|Rossdorf Rhön|0-999999|
